MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Genre
-113.619385,121.55302,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283618,10.973775,-8.32241,8.8067875,-3.6658018,blues
-207.58151,123.99715,8.939115,35.870758,2.9199705,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.375942,-2.237833,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.7857633,-8.899733,blues
-199.462,150.09474,5.649167,26.870144,1.7554406,14.23688,-4.8288727,9.297849,-0.7531419,8.147393,-3.1952357,6.085354,-2.4761882,blues
-160.29185,126.19576,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.5005233,-11.80477,1.2038777,-13.085074,-2.8098488,-6.935621,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.9401843,-11.773799,-2.426076,-9.342486,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963725,-20.882357,0.27711594,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.5483482,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.82594,21.17341,-6.7202907,7.0050187,-12.739909,blues
-213.20453,115.15454,-11.720504,39.032555,-20.357819,13.089926,-9.180815,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368743,blues
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.8846726,-1.186681,-1.9771544,1.8001548,-3.0044115,blues
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827976,6.5667357,-4.87944,-3.1806588,-5.5570035,blues
-207.20874,132.79709,-15.460706,60.994865,0.7102412,12.461279,1.1609278,-1.5278944,-17.901815,8.369234,-2.4538186,-0.59668875,0.3688165,blues
-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.202038,-3.051727,blues
-305.69858,113.041626,12.114901,45.039444,17.73924,14.59463,4.157129,0.24009794,-7.013088,13.649843,8.923058,1.3016897,5.9521284,blues
-238.53304,120.08829,-4.2245555,42.310043,5.9163294,13.914182,5.3575773,1.9037088,-16.92988,12.339311,3.9409604,-1.3906769,0.014792097,blues
-233.79489,120.66705,-3.1675603,39.53927,3.858855,18.839672,-3.6889172,4.431845,-14.975374,17.571033,1.8447447,2.538607,-1.2386856,blues
-245.75414,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.53618747,-16.36736,6.629854,7.269149,-4.015731,1.6074536,blues
-252.51877,104.93698,15.316828,42.67347,6.7626176,21.623577,-1.313277,5.691933,-16.619516,12.161627,-1.96795,1.9697647,-0.8889585,blues
-236.6889,138.40428,-4.923575,47.647713,5.152376,8.895284,0.4828563,-3.801668,-14.974891,10.432587,-0.35396177,0.7883456,1.7829303,blues
-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.6394286,8.25213,-18.104383,13.842513,-3.760913,2.5718598,-4.3208055,blues
-264.67847,138.85834,11.156023,48.538254,14.895924,20.584368,3.2051423,1.2625881,-15.847021,15.986576,3.3616717,-1.5137411,1.892155,blues
-233.85751,136.17209,3.2713184,48.931213,8.685134,13.97951,5.354868,0.39087018,-13.504575,16.856106,5.130938,-2.23188,3.9640331,blues
-227.26886,137.7307,-14.493466,63.555702,5.612641,11.984639,1.885552,-1.8633765,-7.6205554,-2.4471745,-2.886725,-9.429529,-10.923911,blues
-274.31186,130.41371,-6.3927994,70.405014,13.269141,9.461284,7.7256413,-1.2474906,-0.5775883,-2.3025882,3.783147,0.08482328,-0.93943596,blues
-249.2894,130.98703,0.67739016,66.68578,17.897806,4.623737,6.5983086,1.2490501,1.4163895,-1.5791419,-0.96266294,-3.5719957,-2.9279816,blues
-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.005786246,2.250966,4.2050996,-3.293317,1.6082983,blues
-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024475,0.9099383,1.9782512,-6.1670074,-9.396024,-2.5628405,-4.522894,-0.26295042,blues
-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.33127934,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.9021665,blues
-233.75082,101.178276,17.649767,23.733776,2.082033,25.941923,-16.958849,15.098034,-22.278715,4.3951225,-23.207403,-6.057175,-5.068857,blues
